smiles,pACT
C#CC(CO)(Cn1ccc(=O)[nH]c1=O)OCP(=O)(O)O.CCN(CC)CC,4.68
C#CC(CO)(Cn1cnc2c(=O)[nH]c(N)nc21)OCP(=O)(O)O.CCN(CC)CC,6.51
C#CC(CO)(Cn1cnc2c(N)ncnc21)OCP(=O)(O)O.CCN(CC)CC,4.6
C#CCCC1(CCOc2cc3c(cc2C(=O)OC)-c2cc(=O)c(C(=O)O)cn2[C@@H](C(C)C)C3)N=N1,7.08
C#CCCC1(CCOc2cc3c(cc2C(=O)OC)-c2cc(=O)c(C(=O)O)cn2[C@H](C(C)C)C3)N=N1,8.49
C#CCNC(=O)C(=O)c1c(C)c(C(=O)Nc2ccc(F)c(F)c2)n(C)c1C,8.52
C#CCNC(=O)C(=O)c1cc(C(=O)Nc2ccc(F)c(F)c2)n(C)c1,5.25
C#C[C@@](CO)(Cn1cnc2c(=O)[nH]c(N)nc21)OCP(=O)(N[C@@H](Cc1ccccc1)C(=O)OCCC)N[C@@H](Cc1ccccc1)C(=O)OCCC,8.03
C#C[C@@](CO)(Cn1cnc2c(=O)[nH]c(N)nc21)OCP(=O)(O)O.CCN(CC)CC,7.73
C#C[C@](CO)(Cn1cnc2c(=O)[nH]c(N)nc21)OCP(=O)(O)O.CCN(CC)CC,6.3
C#Cc1cn([C@@H]2C(=C)[C@](C)(CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,5.2
C#Cc1cn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,6.5
C/C=C(\C)C(=O)OCCc1c(-c2ccccc2Cl)c2cc(Cl)ccc2[nH]c1=O,4.24
C/C=C/C(=O)OCCc1c(-c2ccccc2Cl)c2cc(Cl)ccc2[nH]c1=O,4.66
C/C=C/C=C/C(=O)OCCc1c(-c2ccccc2Cl)c2cc(Cl)ccc2[nH]c1=O,4.64
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,6.4
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,5.39
C=C(C)[C@H](O)[C@@H](O)C[C@@H](C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1,6.22
C=C(C)[C@H](OC(=O)COC(C)=O)[C@H](C[C@@H](C)[C@]12CC[C@@]3(C)[C@@]1(C[C@H](OC(=O)COC(C)=O)[C@H]1[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]13C)O2)OC(=O)COC(C)=O,4.29
C=C(C)[C@H](OC(=O)COC)[C@H](C[C@@H](C)C1=C2C[C@H](OC(=O)COC)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1)OC(=O)COC,4.17
C=C(C)[C@H](OC(=O)COC)[C@H](C[C@@H](C)[C@]12CC[C@@]3(C)[C@@]1(C[C@H](OC(=O)COC)[C@H]1[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]13C)O2)OC(=O)COC,4.36
C=C(C)[C@H](OC(=O)COCC)[C@H](C[C@@H](C)C1=C2C[C@H](OC(=O)COCC)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1)OC(=O)COCC,4.7
C=C(C)[C@H](OC(=O)COCC)[C@H](C[C@@H](C)[C@]12CC[C@@]3(C)[C@@]1(C[C@H](OC(=O)COCC)[C@H]1[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]13C)O2)OC(=O)COCC,4.7
C=C(C)[C@H](OC(C)=O)[C@H](C[C@@H](C)C1=C2C[C@H](OC(C)=O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1)OC(C)=O,4.55
C=C(C)[C@H](OC(C)=O)[C@H](C[C@@H](C)[C@]12CC[C@@]3(C)[C@@]1(C[C@H](OC(C)=O)[C@H]1[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]13C)O2)OC(C)=O,4.62
C=C1/C=C/[C@H](OC(=O)CC)[C@@]2(C)[C@@H](OC(C)=O)CC[C@]3(CO3)[C@@H]2[C@H](OC(C)=O)[C@]2(O)[C@@H](C)C(=O)O[C@H]2[C@H]1Cl,6.09
C=C1/C=C/[C@H](OC(C)=O)[C@@]2(C)[C@@H](OC(C)=O)CC[C@]3(CO3)[C@@H]2[C@H](OC(C)=O)[C@]2(O)[C@@H](C)C(=O)O[C@H]2[C@H]1Cl,5.29
C=C1CC[C@@H]2[C@](C)(C=O)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,4.87
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CC(CO)(CO)OC1=O,4.13
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,4.65
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C(/C(=O)O)[C@H](O)CO,4.63
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1O,4.27
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.28
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(=O)/C=C/c3ccccc3)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.51
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(=O)CCCC)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.16
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(=O)c3ccccc3)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.67
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.42
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(=O)c3ccco3)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.6
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(=O)c3cccs3)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,5.09
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(C)=O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.35
C=C1CC[C@@H]2[C@](C)(COC(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,4.99
C=C1CC[C@@H]2[C@](C)(COC(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.65
C=C1CC[C@@H]2[C@](C)(COC(=O)/C=C/c3cccc(Cl)c3)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,4.22
